E897,Help,
E898,Upload,
E899,Emoji,
E89A,TwoPage,
E89B,LeaveChat,
E89C,MailForward,
E89E,RotateCamera,
E89F,ClosePane,
E8A0,OpenPane,
E8A1,PreviewLink,
E8A2,AttachCamera,
E8A3,ZoomIn,
E8A4,Bookmarks,
E8A5,Document,
E8A6,ProtectedDocument,
E8A8,MailFill,
E8A9,ViewAll,
E8AA,VideoChat,
E8AB,Switch,
E8AC,Rename,
E8AD,Go,
E8AF,Remote,
E8B1,Shuffle,
E8B3,SelectAll,
E8B4,Orientation,
E8B5,Import,
E8B6,ImportAll,
E8B7,Folder,
E8B8,Webcam,
E8BA,Caption,
E8BC,ShowResults,
E8BD,Message,
E8BF,CalendarDay,
E8C0,CalendarWeek,
E8C1,Characters,
E8C2,MailReplyAll,
E8C3,Read,
E8C4,ShowBCC,
E8C5,HideBCC,
E8C6,Cut,
E8C8,Copy,
E8C9,Important,
E8CA,MailReply,
E8CB,Sort,
E8CD,DisconnectDrive,
E8CE,MapDrive,
E8CF,ContactPresence,
E8D0,Priority,
E8D1,GoToToday,
E8D2,Font,
E8D3,Fontcolor,
E8D4,Contact2,
E8D6,Audio,
E8D7,Permissions,
E8D8,DisableUpdates,
E8D9,Unfavorite,
E8D9,UnFavorite,
E8DA,OpenLocal,
E8DB,Italic,
E8DC,Underline,
E8DD,Bold,
E8DE,MoveToFolder,
E8DF,LikeDislike,
E8E0,Dislike,
E8E1,Like,
E8E5,OpenFile,
E8E6,ClearSelection,
E8E7,FontDecrease,
E8E8,FontIncrease,
E8E9,FontSize,
E8EA,Cellphone,
E8EB,Reshare,
E8EC,Tag,
E8ED,RepeatOne,
E8EE,RepeatAll,
E8EF,Calculator,
E8F0,Directions,
E8F1,Library,
E8F3,PostUpdate,
E8F4,NewFolder,
E8F5,CalendarReply,
E8F6,UnSyncFolder,
E8F7,SyncFolder,
E8F8,BlockContact,
E8F9,SwitchApps,
E8FC,GoToStart,
E8FD,BulletedList,
E8FE,Scan,
E8FF,Preview,
E904,ZeroBars,
E905,OneBar,
E906,TwoBars,
E907,ThreeBars,
E908,FourBars,
E909,World,
E90A,Comment,
E90B,MusicInfo,
E90C,DockLeft,
E90D,DockRight,
E90E,DockBottom,
E90F,Repair,
E912,Manage,
E913,Street,
E97B,SetTile,
E996,BatteryUnknown,
EA37,List,
EA47,ChromeBackMirrored,Chrome back mirrored button
ea93,BatteryCharging10,
EA94,BatterySaver9,
EA95,BatterySaver10,
EBA0,MobBatter10,
EBA0,MobBattery0,
EBA1,MobBattery1,
EBA2,MobBattery2,
EBA3,MobBattery3,
EBA4,MobBattery4,
EBA5,MobBattery5,
EBA6,MobBattery6,
EBA7,MobBattery7,
EBA8,MobBattery8,
EBA9,MobBattery9,
EBAB,MobBatteryCharging0,
EBAC,MobBatteryCharging1,
EBAD,MobBatteryCharging2,
EBAE,MobBatteryCharging3,
EBAF,MobBatteryCharging4,
EBB0,MobBatteryCharging5,
EBB1,MobBatteryCharging6,
EBB2,MobBatteryCharging7,
EBB3,MobBatteryCharging8,
EBB4,MobBatteryCharging9,
EBB5,MobBatteryChargin10,
EBB6,MobBatterySaver0,
EBB7,MobBatterySaver1,
EBB8,MobBatterySaver2,
EBB9,MobBatterySaver3,
EBBA,MobBatterySaver4,
EBBB,MobBatterySaver5,
EBBC,MobBatterySaver6,
EBBD,MobBatterySaver7,
EBBE,MobBatterySaver8,
EBBF,MobBatterySaver9,
EBC0,MobBatterySaver10,
EC02,MobBatteryUnknown,
